sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Sparkasse Bergkamen-Bönen,Nordrhein-Westfalen,0.156127353,533 T. €,266.5,"266,5 T. €","585,4 Mio. €",109,109.0,2
Sparkasse Radevormwald-Hückeswagen,Nordrhein-Westfalen,0.160710846,"533,9 T. €",266.95,"266,9 T. €","536,8 Mio. €",156,156.0,2
Sparkasse Freising,Bayern,0.3854066561,535 T. €,267.5,"267,5 T. €","1,3 Mrd. €",358,358.0,2
Stadtsparkasse Schwerte,Nordrhein-Westfalen,0.180393009,538 T. €,269.0,269 T. €,"661,2 Mio. €",171,171.0,2
Städtische Sparkasse zu Schwelm,Nordrhein-Westfalen,0.161466931,542 T. €,271.0,271 T. €,"590,2 Mio. €",145,145.0,2
Stadtsparkasse Sprockhövel,Nordrhein-Westfalen,0.126614792,543 T. €,271.5,"271,5 T. €",436 Mio. €,109,109.0,2
Verbandssparkasse Goch-Kevelaer-Weeze,Nordrhein-Westfalen,0.142855837,547 T. €,273.5,"273,5 T. €","570,3 Mio. €",111,111.0,2
Stadtsparkasse Wetter,Nordrhein-Westfalen,0.1447725901,547 T. €,273.5,"273,5 T. €","542,8 Mio. €",118,118.0,2
Sparkasse Kleve,Nordrhein-Westfalen,0.333791681,549 T. €,274.5,"274,5 T. €","1,3 Mrd. €",335,335.0,2
Stadtsparkasse Remscheid,Nordrhein-Westfalen,0.412966822,"552,9 T. €",276.45,"276,4 T. €","1,4 Mrd. €",382,382.0,2
Kreis- und Stadtsparkasse Kaufbeuren,Bayern,0.4149097096,553 T. €,276.5,"276,5 T. €","1,4 Mrd. €",336,336.0,2
Wartburg-Sparkasse,Thüringen,0.429813638,555 T. €,222.0,222 T. €,"1,6 Mrd. €",392,392.0,"2,5"
Stadtsparkasse Bocholt,Nordrhein-Westfalen,0.248314047,556 T. €,278.0,278 T. €,"1,1 Mrd. €",237,237.0,2
Sparkasse Staufen-Breisach,Baden-Württemberg,0.343349058,558 T. €,279.0,279 T. €,"1,2 Mrd. €",304,304.0,2
Sparkasse Olpe-Drolshagen-Wenden,Nordrhein-Westfalen,0.219612682,559 T. €,279.5,"279,5 T. €",862 Mio. €,200,200.0,2
Sparkasse Wittgenstein,Nordrhein-Westfalen,0.231034294,560 T. €,280.0,280 T. €,"838,8 Mio. €",243,243.0,2
Sparkasse der Homburgischen Gemeinden,Nordrhein-Westfalen,0.199769086,"560,3 T. €",280.15,"280,1 T. €","757,6 Mio. €",172,172.0,2
Sparkasse Hattingen,Nordrhein-Westfalen,0.251695171,568 T. €,284.0,284 T. €,"906,1 Mio. €",212,212.0,2
Sparkasse Attendorn-Lennestadt-Kirchhundem,Nordrhein-Westfalen,0.292248153,"568,2 T. €",284.1,"284,1 T. €","1,1 Mrd. €",240,240.0,2
Stadtsparkasse Bad Oeynhausen,Nordrhein-Westfalen,0.196835842,571 T. €,285.5,"285,5 T. €",739 Mio. €,208,208.0,2
Sparkasse Forchheim,Bayern,0.4490416446,572 T. €,286.0,286 T. €,"1,6 Mrd. €",414,414.0,2
Kreis- und Stadtsparkasse Dillingen,Bayern,0.3517496441,572 T. €,286.0,286 T. €,"1,2 Mrd. €",381,381.0,2
Sparkasse Gütersloh,Nordrhein-Westfalen,0.52300949,574 T. €,382.6666666666667,"382,7 T. €","1,9 Mrd. €",397,397.0,"1,5"
Stadtsparkasse Wermelskirchen,Nordrhein-Westfalen,0.170510622,"574,6 T. €",287.3,"287,3 T. €","640,6 Mio. €",147,147.0,2
Stadtsparkasse Werne,Nordrhein-Westfalen,0.154527775,576 T. €,288.0,288 T. €,"595,9 Mio. €",131,131.0,2
Sparkasse Merzig-Wadern,Saarland,0.467814554,577 T. €,288.5,"288,5 T. €","1,6 Mrd. €",436,436.0,2
Kreissparkasse Kelheim,Bayern,0.4958393533,579 T. €,289.5,"289,5 T. €","1,8 Mrd. €",528,528.0,2
Sparkasse Werl,Nordrhein-Westfalen,0.200861663,579 T. €,289.5,"289,5 T. €",742 Mio. €,167,167.0,2
Sparkasse Donnersberg,Rheinland-Pfalz,0.342020855,588 T. €,294.0,294 T. €,"1,4 Mrd. €",271,271.0,2
Sparkasse Günzburg-Krumbach,Bayern,0.5011799742,593 T. €,296.5,"296,5 T. €","1,8 Mrd. €",426,426.0,2
Sparkasse Kierspe-Meinerzhagen,Nordrhein-Westfalen,0.187552717,597 T. €,298.5,"298,5 T. €","672,6 Mio. €",146,146.0,2
Sparkasse Mansfeld-Südharz,Sachsen-Anhalt,0.398473934,599 T. €,299.5,"299,5 T. €","1,4 Mrd. €",317,317.0,2
Sparkasse Werra-Meißner,Hessen,0.490561366,600 T. €,300.0,300 T. €,"1,7 Mrd. €",404,404.0,2
Sparkasse Bensheim,Hessen,0.5140658185,601 T. €,300.5,"300,5 T. €","1,8 Mrd. €",424,424.0,2
Kreissparkasse Schongau,Bayern,0.2105262187,603 T. €,206.5068493150685,"206,5 T. €","763,8 Mio. €",213,213.0,"2,92"
Stadtsparkasse Gevelsberg,Nordrhein-Westfalen,0.243959408,"603,3 T. €",301.65,"301,6 T. €","910,7 Mio. €",148,148.0,2
Sparkasse Starkenburg,Hessen,0.6014875461,606 T. €,303.0,303 T. €,"1,9 Mrd. €",414,414.0,2
Verbands-Sparkasse Wesel,Nordrhein-Westfalen,0.4373443609,606 T. €,303.0,303 T. €,"1,7 Mrd. €",403,403.0,2
Sparkasse Hochsauerland,Nordrhein-Westfalen,0.29988991,606 T. €,303.0,303 T. €,"1,2 Mrd. €",305,305.0,2
Kreissparkasse Saarpfalz,Saarland,0.481667239,610 T. €,305.0,305 T. €,"1,7 Mrd. €",451,451.0,2
Kreissparkasse Saalfeld-Rudolstadt,Thüringen,0.313696109,612 T. €,204.0,204 T. €,"1,2 Mrd. €",302,302.0,3
Sparkasse Märkisches Sauerland Hemer-Menden,Nordrhein-Westfalen,0.3207261098,613 T. €,306.5,"306,5 T. €","1,2 Mrd. €",274,274.0,2
Sparkasse Bad Hersfeld-Rotenburg,Hessen,0.5540114151,615 T. €,307.5,"307,5 T. €","1,8 Mrd. €",484,484.0,2
Städtische Sparkasse Offenbach am Main,Hessen,0.365301,616 T. €,308.0,308 T. €,"1,4 Mrd. €",302,302.0,2
Sparkasse Arnsberg-Sundern,Nordrhein-Westfalen,0.33176417,616 T. €,308.0,308 T. €,"1,1 Mrd. €",286,286.0,2
Kreissparkasse Heidenheim,Baden-Württemberg,0.4903130782,617 T. €,308.5,"308,5 T. €","1,9 Mrd. €",386,386.0,2
Herner Sparkasse,Nordrhein-Westfalen,0.4446124393,621 T. €,310.5,"310,5 T. €","1,6 Mrd. €",418,418.0,2
Sparkasse Dinslaken-Voerde-Hünxe,Nordrhein-Westfalen,0.4101679549,"623,8 T. €",311.9,"311,9 T. €","1,5 Mrd. €",429,429.0,2
Vereinigte Sparkasse im Märkischen Kreis,Nordrhein-Westfalen,0.423433677,624 T. €,312.0,312 T. €,"1,6 Mrd. €",355,355.0,2
Sparkasse Beckum-Wadersloh,Nordrhein-Westfalen,0.222210786,626 T. €,313.0,313 T. €,"781,1 Mio. €",192,192.0,2
Sparkasse Pfaffenhofen,Bayern,0.3344662206,630 T. €,252.0,252 T. €,"1,2 Mrd. €",327,327.0,"2,5"
Sparkasse Kulmbach-Kronach,Bayern,0.612039248,636 T. €,318.0,318 T. €,"2,3 Mrd. €",614,614.0,2
Sparkasse Gelsenkirchen,Nordrhein-Westfalen,0.9149445392,637 T. €,318.5,"318,5 T. €","3,1 Mrd. €",820,820.0,2
Sparkasse Höxter,Nordrhein-Westfalen,0.381144443,637 T. €,318.5,"318,5 T. €","1,4 Mrd. €",390,390.0,2
Sparkasse Bayreuth,Bayern,0.5663765362,645 T. €,322.5,"322,5 T. €","2,2 Mrd. €",569,569.0,2
Sparkasse Lünen,Nordrhein-Westfalen,0.359432618,646 T. €,323.0,323 T. €,"1,4 Mrd. €",318,318.0,2
Kreissparkasse Euskirchen,Nordrhein-Westfalen,0.4982557277,"658,8 T. €",329.4215,"329,4 T. €","1,8 Mrd. €",478,478.0,2
Stadtsparkasse Bottrop,Nordrhein-Westfalen,0.32944165,667 T. €,333.5,"333,5 T. €","1,2 Mrd. €",309,309.0,2
Sparkasse Lippstadt,Nordrhein-Westfalen,0.37206718,669 T. €,334.5,"334,5 T. €","1,4 Mrd. €",277,277.0,2
Sparkasse Gummersbach-Bergneustadt,Nordrhein-Westfalen,0.341178687,"669,5 T. €",334.75,"334,8 T. €","1,2 Mrd. €",281,281.0,2
