,sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,anzahl_vorstaende_2014
149,Sparkasse Aichach-Schrobenhausen,Bayern,3723524117.0,686000.0,228666.66666666666,"1,2 Mrd. €",377.0,3.0
150,Sparkasse Dillenburg,Hessen,3539212650.0,506000.0,253000.0,"1,2 Mrd. €",360.0,2.0
151,Vereinigte Spk. Eschenbach Neustadt Vohenstrauß,Bayern,4261203879.0,818000.0,272666.6666666667,"1,3 Mrd. €",348.0,3.0
152,Sparkasse Mansfeld-Südharz,Sachsen-Anhalt,3984739340.0,599000.0,299500.0,"1,4 Mrd. €",317.0,2.0
157,Sparkasse Freising,Bayern,3854066561.0,535000.0,267500.0,"1,3 Mrd. €",358.0,2.0
160,Sparkasse Lippstadt,Nordrhein-Westfalen,3720671800.0,669000.0,334500.0,"1,4 Mrd. €",277.0,2.0
162,Sparkasse Donnersberg,Rheinland-Pfalz,3420208550.0,588000.0,294000.0,"1,4 Mrd. €",271.0,2.0
163,Kreis- und Stadtsparkasse Kaufbeuren,Bayern,4149097096.0,553000.0,276500.0,"1,4 Mrd. €",336.0,2.0
164,Stadt-Sparkasse Langenfeld,Nordrhein-Westfalen,3707565880.0,679700.0,339850.0,"1,3 Mrd. €",254.0,2.0
165,Kreissparkasse Halle,Nordrhein-Westfalen,3564400650.0,690000.0,345000.0,"1,4 Mrd. €",245.0,2.0
166,Sparkasse Bad Kissingen,Bayern,3974799784.0,506000.0,253000.0,"1,4 Mrd. €",370.0,2.0
167,Sparkasse Oberpfalz Nord,Bayern,3722874486.0,462000.0,231000.0,"1,4 Mrd. €",419.0,2.0
169,Kreissparkasse Limburg,Hessen,3916959950.0,422000.0,211000.0,"1,4 Mrd. €",417.0,2.0
170,Stadtsparkasse Remscheid,Nordrhein-Westfalen,4129668220.0,552900.0,276450.0,"1,4 Mrd. €",382.0,2.0
171,Städtische Sparkasse Offenbach am Main,Hessen,3653010000.0,616000.0,308000.0,"1,4 Mrd. €",302.0,2.0
172,Sparkasse Lünen,Nordrhein-Westfalen,3594326180.0,646000.0,323000.0,"1,4 Mrd. €",318.0,2.0
173,Sparkasse Niederlausitz mit Sitz in Senftenberg,Brandenburg,4459892130.0,689000.0,344500.0,"1,5 Mrd. €",335.0,2.0
175,Sparkasse im Landkreis Cham,Bayern,4349825043.0,512000.0,256000.0,"1,5 Mrd. €",379.0,2.0
176,Sparkasse Höxter,Nordrhein-Westfalen,3811444430.0,637000.0,318500.0,"1,4 Mrd. €",390.0,2.0
177,Sparkasse Märkisch-Oderland,Brandenburg,3750047430.0,866000.0,288666.6666666667,"1,5 Mrd. €",361.0,3.0
179,Sparkasse Neunkirchen,Saarland,4412379740.0,434178.0,217089.0,"1,4 Mrd. €",401.0,2.0
180,Sparkasse Soest,Nordrhein-Westfalen,4108927730.0,870000.0,290000.0,"1,5 Mrd. €",303.0,3.0
183,Sparkasse Berchtesgadener Land,Bayern,4306901371.0,764000.0,254666.66666666666,"1,5 Mrd. €",394.0,3.0
184,Sparkasse Odenwaldkreis,Hessen,4278083700.0,503000.0,251500.0,"1,5 Mrd. €",407.0,2.0
185,Wartburg-Sparkasse,Thüringen,4298136380.0,555000.0,222000.0,"1,6 Mrd. €",392.0,2.5
187,Sparkasse der Stadt Iserlohn,Nordrhein-Westfalen,4317870380.0,967000.0,322333.3333333333,"1,5 Mrd. €",373.0,3.0
191,Vereinigte Sparkassen im Landkreis Weilheim,Bayern,4630822982.0,779000.0,259666.66666666666,"1,6 Mrd. €",409.0,3.0
194,Vereinigte Sparkasse im Märkischen Kreis,Nordrhein-Westfalen,4234336770.0,624000.0,312000.0,"1,6 Mrd. €",355.0,2.0
196,Sparkasse Merzig-Wadern,Saarland,4678145540.0,577000.0,288500.0,"1,6 Mrd. €",436.0,2.0
199,Sparkasse Forchheim,Bayern,4490416446.0,572000.0,286000.0,"1,6 Mrd. €",414.0,2.0
200,Rhön-Rennsteig-Sparkasse,Thüringen,4953857060.0,482000.0,241000.0,"1,6 Mrd. €",472.0,2.0
201,Sparkasse Dinslaken-Voerde-Hünxe,Nordrhein-Westfalen,4101679549.0,623800.0,311900.0,"1,5 Mrd. €",429.0,2.0
202,Kreissparkasse Saarpfalz,Saarland,4816672390.0,610000.0,305000.0,"1,7 Mrd. €",451.0,2.0
206,Sparkasse Günzburg-Krumbach,Bayern,5011799742.0,593000.0,296500.0,"1,8 Mrd. €",426.0,2.0
208,Kreissparkasse Miesbach-Tegernsee,Bayern,5056710061.0,806000.0,268666.6666666667,"1,7 Mrd. €",380.0,3.0
209,Sparkasse Hamm,Nordrhein-Westfalen,4470252370.0,970000.0,323333.3333333333,"1,7 Mrd. €",376.0,3.0
212,Sparkasse Landsberg-Dießen,Bayern,5163655792.0,856000.0,285333.3333333333,"1,7 Mrd. €",404.0,3.0
214,Sparkasse Werra-Meißner,Hessen,4905613660.0,600000.0,300000.0,"1,7 Mrd. €",404.0,2.0
216,Kreissparkasse Euskirchen,Nordrhein-Westfalen,4982557277.0,658843.0,329421.5,"1,8 Mrd. €",478.0,2.0
217,Verbands-Sparkasse Wesel,Nordrhein-Westfalen,4373443609.0,606000.0,303000.0,"1,7 Mrd. €",403.0,2.0
219,Herner Sparkasse,Nordrhein-Westfalen,4446124393.0,621000.0,310500.0,"1,6 Mrd. €",418.0,2.0
221,Kreissparkasse Freudenstadt,Baden-Württemberg,4581339222.0,671000.0,223666.66666666666,"1,7 Mrd. €",412.0,3.0
223,Kreissparkasse Kelheim,Bayern,4958393533.0,579000.0,289500.0,"1,8 Mrd. €",528.0,2.0
224,Sparkasse Jena-Saale-Holzland,Thüringen,4695843545.0,694000.0,231333.33333333334,"1,9 Mrd. €",479.0,3.0
225,Sparkasse Rotenburg-Bremervörde,Niedersachsen,5208118764.0,690000.0,345000.0,"1,8 Mrd. €",471.0,2.0
226,Sparkasse im Landkreis Neustadt/Aisch - Bad Windsheim,Bayern,5292107416.3,777000.0,259000.0,"1,8 Mrd. €",457.0,3.0
227,Sparkasse Gütersloh,Nordrhein-Westfalen,5230094900.0,574000.0,382666.6666666667,"1,9 Mrd. €",397.0,1.5
228,Sparkasse Miltenberg-Obernburg,Bayern,5169550678.0,780000.0,260000.0,"1,8 Mrd. €",530.0,3.0
229,Sparkasse Bensheim,Hessen,5140658185.0,601000.0,300500.0,"1,8 Mrd. €",424.0,2.0
230,Kreis- und Stadtsparkasse Erding - Dorfen,Bayern,5234468213.0,794000.0,264666.6666666667,"1,9 Mrd. €",421.0,3.0
231,Sparkasse Lüdenscheid,Nordrhein-Westfalen,5310591325.0,980400.0,326800.0,"1,8 Mrd. €",425.0,3.0
234,Sparkasse Baden-Baden Gaggenau,Baden-Württemberg,4865835309.0,795000.0,397500.0,"1,8 Mrd. €",390.0,2.0
235,Sparkasse Neu-Ulm - Illertissen,Bayern,5516007959.0,876000.0,292000.0,"1,9 Mrd. €",525.0,3.0
236,Kreissparkasse Traunstein-Trostberg,Bayern,5059352992.0,779000.0,259666.66666666666,2 Mrd. €,469.0,3.0
237,Sparkasse im Landkreis Schwandorf,Bayern,5270469335.0,701000.0,300858.36909871246,"1,9 Mrd. €",534.0,2.33
238,Sparkasse Amberg-Sulzbach,Bayern,5347263482.9,978000.0,326000.0,2 Mrd. €,527.0,3.0
239,Sparkasse Bad Hersfeld-Rotenburg,Hessen,5540114151.0,615000.0,307500.0,"1,8 Mrd. €",484.0,2.0
241,Sparkasse Witten,Nordrhein-Westfalen,5226117990.0,681000.0,340500.0,2 Mrd. €,463.0,2.0
242,Sparkasse Gera-Greiz,Thüringen,5195283085.0,740000.0,246666.66666666666,"1,9 Mrd. €",494.0,3.0
243,Kreissparkasse Heidenheim,Baden-Württemberg,4903130782.0,617000.0,308500.0,"1,9 Mrd. €",386.0,2.0
244,Sparkasse Aurich-Norden,Niedersachsen,5910283355.0,699000.0,233000.0,2 Mrd. €,474.0,3.0
245,Kreissparkasse Schwalm-Eder,Hessen,5148869898.0,699000.0,349500.0,2 Mrd. €,445.0,2.0
246,Sparkasse Starkenburg,Hessen,6014875461.0,606000.0,303000.0,"1,9 Mrd. €",414.0,2.0
248,Sparkasse Gießen,Hessen,5913571000.0,686000.0,274400.0,"2,1 Mrd. €",628.0,2.5
250,Sparkasse Bad Tölz-Wolfratshausen,Bayern,5946267712.0,888000.0,296000.0,"2,1 Mrd. €",491.0,3.0
252,Sparkasse Waldeck-Frankenberg,Hessen,5536279416.0,500000.0,250000.0,2 Mrd. €,517.0,2.0
253,Weser-Elbe Sparkasse,Niedersachsen,11635728000.0,1339000.0,446333.3333333333,4 Mrd. €,976.0,3.0
254,Sparkasse Neumarkt-Parsberg,Bayern,6353678023.4,876000.0,292000.0,2 Mrd. €,540.0,3.0
256,Sparkasse Wetzlar,Hessen,6217723780.0,479000.0,239500.0,"2,1 Mrd. €",585.0,2.0
258,Kreissparkasse Wiedenbrück,Nordrhein-Westfalen,5728771000.0,784000.0,392000.0,"2,1 Mrd. €",366.0,2.0
260,Kreis- und Stadtsparkasse Unna-Kamen,Nordrhein-Westfalen,6194226000.0,1234000.0,308500.0,"2,2 Mrd. €",433.0,4.0
261,Sparkasse Bayreuth,Bayern,5663765362.0,645000.0,322500.0,"2,2 Mrd. €",569.0,2.0
263,Sparkasse Markgräflerland,Baden-Württemberg,6144801430.0,980000.0,326666.6666666667,"2,3 Mrd. €",412.0,3.0
264,Sparkasse Kulmbach-Kronach,Bayern,6120392480.0,636000.0,318000.0,"2,3 Mrd. €",614.0,2.0
265,Stadt-Sparkasse Solingen,Nordrhein-Westfalen,6204205520.0,781000.0,390500.0,"2,2 Mrd. €",630.0,2.0
267,Sparkasse Dieburg,Hessen,7360596010.0,704600.0,352300.0,"2,2 Mrd. €",524.0,2.0
269,Sparkasse zu Lübeck AG,Schleswig-Holstein,7009641960.0,707000.0,353500.0,"2,4 Mrd. €",493.0,2.0
270,Sparkasse Coburg-Lichtenfels,Bayern,6628985131.0,950000.0,316666.6666666667,"2,4 Mrd. €",657.0,3.0
271,Sparkasse Altötting-Mühldorf,Bayern,6815541913.0,995000.0,331666.6666666667,"2,4 Mrd. €",617.0,3.0
272,Sparkasse Minden-Lübbecke,Nordrhein-Westfalen,6924197420.0,906000.0,302000.0,"2,3 Mrd. €",679.0,3.0
274,Sparkasse Schweinfurt,Bayern,6983925426.3,833000.0,277666.6666666667,"2,5 Mrd. €",596.0,3.0
276,Sparkasse Meißen,Sachsen,6432656662.0,932000.0,372800.0,"2,5 Mrd. €",441.0,2.5
279,Stadtsparkasse Oberhausen,Nordrhein-Westfalen,6465968008.0,964019.0,241004.75,"2,4 Mrd. €",589.0,4.0
280,Sparkasse Oder-Spree,Brandenburg,7448915000.0,1088000.0,375172.4137931035,"2,5 Mrd. €",524.0,2.9
282,Sparkasse Hagen,Nordrhein-Westfalen,7041618107.0,1094000.0,364666.6666666667,"2,5 Mrd. €",538.0,3.0
283,Sparkasse Dachau,Bayern,7157140412.0,749000.0,374500.0,"2,6 Mrd. €",561.0,2.0
