sparkasse,plz,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Stadtsparkasse Schwerte,58239,Nordrhein-Westfalen,0.180393009,538 T. €,269.0,269 T. €,"661,2 Mio. €",171,171.0,2
Städtische Sparkasse zu Schwelm,58332,Nordrhein-Westfalen,0.161466931,542 T. €,271.0,271 T. €,"590,2 Mio. €",145,145.0,2
Stadtsparkasse Sprockhövel,45549,Nordrhein-Westfalen,0.126614792,543 T. €,271.5,"271,5 T. €",436 Mio. €,109,109.0,2
Verbandssparkasse Goch-Kevelaer-Weeze,"47652,47574,47626,47623",Nordrhein-Westfalen,0.142855837,547 T. €,273.5,"273,5 T. €","570,3 Mio. €",111,111.0,2
Sparkasse Kleve,"47546,47589,47551,47533,47559",Nordrhein-Westfalen,0.333791681,549 T. €,274.5,"274,5 T. €","1,3 Mrd. €",335,335.0,2
Stadtsparkasse Remscheid,"42859,42899,42857,42855,42853,42897",Nordrhein-Westfalen,0.412966822,"552,9 T. €",276.45,"276,4 T. €","1,4 Mrd. €",382,382.0,2
Kreis- und Stadtsparkasse Kaufbeuren,"86875,87665,87666,86807,87656,87679,87600",Bayern,0.4149097096,553 T. €,276.5,"276,5 T. €","1,4 Mrd. €",336,336.0,2
Wartburg-Sparkasse,"99846,99817,36414,99831,99842,99826,99837,99820,99819,36457,36466,36452,36460,99830,36469,99848,99834,36404,36448,36419,36433,36456",Thüringen,0.429813638,555 T. €,222.0,222 T. €,"1,6 Mrd. €",392,392.0,"2,5"
Stadtsparkasse Bocholt,"46397,46395",Nordrhein-Westfalen,0.248314047,556 T. €,278.0,278 T. €,"1,1 Mrd. €",237,237.0,2
Sparkasse Staufen-Breisach,"79206,79219,79189,79244,79285,79227,79361,79427,79238,79295,79292,79241,79291,79258,79235,79423,79288,79283,79282",Baden-Württemberg,0.343349058,558 T. €,279.0,279 T. €,"1,2 Mrd. €",304,304.0,2
Sparkasse Olpe-Drolshagen-Wenden,"57482,57462,57489",Nordrhein-Westfalen,0.219612682,559 T. €,279.5,"279,5 T. €",862 Mio. €,200,200.0,2
Sparkasse Wittgenstein,"57319,57334,57339",Nordrhein-Westfalen,0.231034294,560 T. €,280.0,280 T. €,"838,8 Mio. €",243,243.0,2
Sparkasse der Homburgischen Gemeinden,"51674,51588",Nordrhein-Westfalen,0.199769086,"560,3 T. €",280.15,"280,1 T. €","757,6 Mio. €",172,172.0,2
Sparkasse Hattingen,"45527,45525,45529",Nordrhein-Westfalen,0.251695171,568 T. €,284.0,284 T. €,"906,1 Mio. €",212,212.0,2
Sparkasse Attendorn-Lennestadt-Kirchhundem,"57439,57368,57399",Nordrhein-Westfalen,0.292248153,"568,2 T. €",284.1,"284,1 T. €","1,1 Mrd. €",240,240.0,2
Stadtsparkasse Bad Oeynhausen,"32545,32547,32549",Nordrhein-Westfalen,0.196835842,571 T. €,285.5,"285,5 T. €",739 Mio. €,208,208.0,2
Sparkasse Forchheim,"91286,91365,91077,91099,91330,91336,91352,90542,91301,91322,91364,91359,91338,91361,91367,91358,91356,91320,91327,91353,91349,91346,91369,91362,91355,91090,91094",Bayern,0.4490416446,572 T. €,286.0,286 T. €,"1,6 Mrd. €",414,414.0,2
Sparkasse Gütersloh,"33332,33334,33335,33428,33330,33333",Nordrhein-Westfalen,0.52300949,574 T. €,382.6666666666667,"382,7 T. €","1,9 Mrd. €",397,397.0,"1,5"
Stadtsparkasse Wermelskirchen,42929,Nordrhein-Westfalen,0.170510622,"574,6 T. €",287.3,"287,3 T. €","640,6 Mio. €",147,147.0,2
Sparkasse Merzig-Wadern,"66663,66687,66709,66701,66679,66693,66706",Saarland,0.467814554,577 T. €,288.5,"288,5 T. €","1,6 Mrd. €",436,436.0,2
Kreissparkasse Kelheim,"93342,84101,93333,84072,93354,93309,93356,93348,93343,93339,93336,93346,93349,84094,93077,84104,84089,93326,93358,84048,93351,84091,84106,93345",Bayern,0.4958393533,579 T. €,289.5,"289,5 T. €","1,8 Mrd. €",528,528.0,2
Sparkasse Werl,"59457,59469,58739",Nordrhein-Westfalen,0.200861663,579 T. €,289.5,"289,5 T. €",742 Mio. €,167,167.0,2
Sparkasse Donnersberg,"67308,67724,67811,67813,67823,67727,67725,67295,67814,67297,67292,67722,67821,67816,67822,67304,67307,67817,67806,67305,67819,67728,67729",Rheinland-Pfalz,0.342020855,588 T. €,294.0,294 T. €,"1,4 Mrd. €",271,271.0,2
Sparkasse Günzburg-Krumbach,"89362,89358,89355,89340,89349,86479,86476,89331,86470,89346,89359,86505,89343,86381,89312,86473,89335",Bayern,0.5011799742,593 T. €,296.5,"296,5 T. €","1,8 Mrd. €",426,426.0,2
Sparkasse Kierspe-Meinerzhagen,"58540,58566",Nordrhein-Westfalen,0.187552717,597 T. €,298.5,"298,5 T. €","672,6 Mio. €",146,146.0,2
Sparkasse Mansfeld-Südharz,"06343,06308,06333,06456,06295,06537,06526,06536,06542,06317,06543,06313,06528,06347,06311",Sachsen-Anhalt,0.398473934,599 T. €,299.5,"299,5 T. €","1,4 Mrd. €",317,317.0,2
Sparkasse Werra-Meißner,"37290,37299,37284,37214,37218,37216,37235,37249,37297,37287,37296,37213,37293,37242,37276,37269,37247,37281,37217,37215,36205",Hessen,0.490561366,600 T. €,300.0,300 T. €,"1,7 Mrd. €",404,404.0,2
Sparkasse Bensheim,"64686,64673,64625,64653,64683",Hessen,0.5140658185,601 T. €,300.5,"300,5 T. €","1,8 Mrd. €",424,424.0,2
Kreissparkasse Schongau,"86956,86971,86989,86934,82401,86981,86986,86987,82389,86975,86972,86984,86977,82409,82383,86974,82435,86978",Bayern,0.2105262187,603 T. €,206.5068493150685,"206,5 T. €","763,8 Mio. €",213,213.0,"2,92"
Stadtsparkasse Gevelsberg,58285,Nordrhein-Westfalen,0.243959408,"603,3 T. €",301.65,"301,6 T. €","910,7 Mio. €",148,148.0,2
Sparkasse Starkenburg,"64646,69518,69517,69483,64668,69509,68519,69239,69488,64689,64658",Hessen,0.6014875461,606 T. €,303.0,303 T. €,"1,9 Mrd. €",414,414.0,2
